no,start_lon,start_lat,end_lon,end_lat,location,pmv,heat_13-value,heat_7-value,humi_feel,sun_feel,wind_feel,temp,humi,kPa,wind_speed,Block,lat,lon,depthmap,Ref,x1,y1,x2,y2,Connectivity,Entropy R3,Harmonic Mean Depth R3,Integration (HH) R3,Integration (P-value) R3,Integration (Tekl) R3,Intensity R3,Line Length,Mean Depth R3,Node Count R3,Relativised Entropy R3
66,121.5302,25.041147,121.5301,25.040654,66,2.28,1,0,-1,0,0,31.97,70.689,101.2826157,26.187,66,25.0408748,121.5301576,50,50,-420.3786853,366.5012719,-405.5180555,424.5680554,2,1.3052267,5.0574713,1.3088794,1.3088794,0.64932406,0.95381951,59.938217,2.5,19,1.9928683
67,121.5301,25.040654,121.5299,25.040122,67,2.41,0,0,-1,0,0,32.242,69.833,101.3448944,11.209,67,25.0404471,121.5300228,51,51,-441.990491,312.8121586,-420.3786853,366.5012719,3,1.3033811,7.0588236,1.5346701,1.5346701,0.68154991,0.93098646,57.875652,2.5,25,2.046488
68,121.5299,25.040122,121.5298,25.039661,68,2.68,-0.666666667,-1,0.666666667,-1,1,33.22933333,61.089,101.3052495,25.892,68,25.0399916,121.5298713,52,52,-460.4021546,267.0729962,-441.990491,312.8121586,4,1.5078828,7.9370079,1.8135039,1.8135039,0.7180022,1.4393427,49.305782,2.1500001,21,1.526921
69.1,121.5298,25.039661,121.5297,25.03939,69.1,2.84,0,0,2,-1,0,33.6425,57.367,101.2834817,14.9415,69.1,25.0394751,121.5297346,53,53,-479.4239617,219.8180851,-460.4021546,267.0729962,2,1.3386233,4.173913,1.0952908,1.0952908,0.60852319,1.0411515,50.939728,2.4615386,14,1.8866836
69.2,121.5297,25.03939,121.5294,25.039328,69.2,2.74,-0.5,-1,1,-1,1,33.4005,57.0525,101.2756844,11.1815,69.2,25.0393667,121.5295951,53,53,-479.4239617,219.8180851,-460.4021546,267.0729962,2,1.3386233,4.173913,1.0952908,1.0952908,0.60852319,1.0411515,50.939728,2.4615386,14,1.8866836
70,121.5294,25.039328,121.5294,25.038978,70,2.855,-0.5,-1,1,-1,2,33.6675,56.4795,101.2822724,24.935,70,25.0390891,121.529403,81,81,-485.9513888,186.4430555,-479.248611,219.9569444,2,1.4535002,4.3636365,1.1365665,1.1365665,0.61485791,1.2597001,34.177593,2.3333333,13,1.650112
71,121.5294,25.038978,121.5295,25.038631,71,3.105,0,0,1,-1,1,34.549,54.5225,101.269249,5.0585,71,25.0387908,121.5294575,82,82,-485.9513888,186.4430555,-485.598611,147.2847222,3,1.5415961,5.1063828,1.2989333,1.2989333,0.64596856,1.5415961,39.159924,2.1666667,13,1.4444195
72,121.5295,25.038631,121.5294,25.038387,72,3,-0.25,-1,0.5,-1,1.5,34.108,56.2805,101.2730103,26.52625,72,25.0384623,121.5294379,83,83,-489.8319443,94.36805553,-485.598611,147.2847222,2,1.4535002,4.3636365,1.1365665,1.1365665,0.61485791,1.2597001,53.085732,2.3333333,13,1.650112
73,121.5303,25.039519,121.5304,25.039163,73,2.94,-0.5,-1,0,-1,1,33.8585,56.1835,101.2622567,35.271,73,25.0392812,121.5303807,93,93,-395.6402777,245.7097222,-387.8791666,207.9624999,2,1.3845311,4.0975609,1.0697098,1.0697098,0.60170126,1.1249316,38.536835,2.4166667,13,1.7917442
74,121.5304,25.039163,121.5307,25.038862,74,2.78,-0.5,-1,1,-1,2,33.5365,56.7475,101.260376,9.3085,74,25.0389129,121.5306461,99,99,-387.8791666,206.2492471,-365.3013888,172.4407801,3,1.4990152,6.2222223,1.4635203,1.4635203,0.67259115,1.3412241,40.654255,2.25,17,1.5970589
75,121.5307,25.038862,121.5306,25.038354,75,2.855,-0.5,-2,1,-1,2,33.6425,56.165,101.2608032,44.147,75,25.038429,121.5306227,98,98,-365.3013888,87.13611109,-365.3013888,172.4407801,4,1.5404148,7.1489363,1.6132691,1.6132691,0.69413465,1.4593403,85.304672,2.1764705,18,1.5170654
76,121.5311,25.040374,121.531,25.040124,76,2.49,0,0,0,0,0,32.444,69.716,101.3590546,7.225,76,25.0401725,121.5310207,74,74,-324.7612533,313.6857523,-317.5247014,338.4493055,3,1.4441595,6.2068968,1.4028426,1.4028426,0.66319418,1.1815851,25.79925,2.3529413,18,1.7547162
